iter	RMSE
0	320.7231208
1	289.9023146
2	262.8638148
3	238.3297376
4	215.9100625
5	195.5688594
6	177.5578346
7	160.9718929
8	146.2865641
9	133.4062042
10	121.1892233
11	110.1604674
12	100.4549183
13	91.82927496
14	83.78373424
15	76.84472093
16	70.97500629
17	65.12410559
18	59.99978361
19	55.370547
20	51.159038
21	47.44626994
22	44.15031445
23	41.40188389
24	38.94416233
25	36.84928876
26	35.06072858
27	33.48345592
28	32.04578392
29	30.8073206
30	29.77281716
31	28.86900703
32	28.08927264
33	27.41889728
34	26.83742007
35	26.37320941
36	25.96955834
37	25.6223536
38	25.32236539
39	25.08483955
40	24.88579272
41	24.6912467
42	24.55329505
43	24.39640757
44	24.28573399
45	24.17926013
46	24.09794004
47	23.98114961
48	23.91414917
49	23.8529482
50	23.76023976
51	23.65901393
52	23.61693747
53	23.5556249
54	23.52720889
55	23.46923189
56	23.43911587
57	23.40295139
58	23.36594077
59	23.31906257
60	23.27459584
61	23.2307713
62	23.19155975
63	23.14247157
64	23.11867078
65	23.05580967
66	23.03442417
67	23.00183172
68	22.97447199
69	22.93719072
70	22.89191484
71	22.85468487
72	22.83843342
73	22.79233888
74	22.76079236
75	22.73789574
76	22.70752887
77	22.67126454
78	22.63459121
79	22.57967439
80	22.52860186
81	22.49119295
82	22.47120154
83	22.44400296
84	22.42373408
85	22.39051091
86	22.37491481
87	22.35754709
88	22.3206534
89	22.28383862
90	22.26501559
91	22.23306413
92	22.21422612
93	22.16420318
94	22.14411057
95	22.09329562
96	22.08073868
97	22.03101319
98	21.98969312
99	21.9779578
