iter	Passed	Remaining
0	55	5500
1	58	2855
2	67	2168
3	70	1696
4	76	1452
5	79	1252
6	82	1098
7	87	1003
8	92	932
9	94	854
10	98	797
11	104	763
12	107	720
13	113	699
14	118	671
15	121	635
16	126	615
17	130	594
18	133	568
19	136	546
20	140	530
21	144	512
22	147	493
23	152	483
24	157	472
25	160	455
26	165	446
27	169	434
28	170	418
29	172	402
30	174	389
31	178	378
32	179	365
33	181	353
34	183	340
35	184	327
36	185	315
37	186	304
38	188	295
39	190	285
40	191	275
41	192	266
42	193	256
43	194	247
44	195	239
45	196	230
46	197	222
47	198	214
48	199	207
49	200	200
50	202	194
51	202	187
52	203	180
53	204	174
54	206	168
55	208	163
56	210	158
57	212	154
58	214	149
59	215	143
60	216	138
61	217	133
62	217	127
63	218	122
64	220	118
65	220	113
66	221	108
67	221	104
68	222	99
69	223	95
70	223	91
71	224	87
72	224	83
73	225	79
74	225	75
75	227	71
76	228	68
77	228	64
78	229	61
79	230	57
80	230	54
81	231	50
82	232	47
83	233	44
84	233	41
85	234	38
86	235	35
87	235	32
88	236	29
89	236	26
90	237	23
91	237	20
92	238	17
93	240	15
94	241	12
95	241	10
96	242	7
97	242	4
98	243	2
99	244	0
